"Index","Leverage","Cooks_D","DFFITS","High_Leverage","High_Cooks","High_DFFITS"
2885,0.170016649907286,0.773991360968751,2.79558383903526,TRUE,TRUE,TRUE
2777,0.0327982894567267,0.301368207322971,-1.75634632810281,TRUE,TRUE,TRUE
2794,0.0406704236567925,0.228809700141777,1.52326071430475,TRUE,TRUE,TRUE
2778,0.0265099282514669,0.220835305557795,-1.50190663984926,TRUE,TRUE,TRUE
2796,0.0526161844253605,0.207066205943093,1.44587341235899,TRUE,TRUE,TRUE
2795,0.0480149145949716,0.203972123528674,1.43563044435535,TRUE,TRUE,TRUE
2797,0.0434667837560249,0.144323075029715,1.2062193071447,TRUE,TRUE,TRUE
2776,0.0232138713951369,0.101518097483017,-1.01311773021044,TRUE,TRUE,TRUE
2793,0.0264890942242407,0.0987986531521236,0.998608404977219,TRUE,TRUE,TRUE
2773,0.0213030910896475,0.0953807069401866,-0.982159327804419,TRUE,TRUE,TRUE
2775,0.0213697564569015,0.0870581441189645,-0.937840529377033,TRUE,TRUE,TRUE
2798,0.0425360557642229,0.0844623481997176,0.921211829111805,TRUE,TRUE,TRUE
2799,0.036253879067279,0.0781772174614537,0.886480754469331,TRUE,TRUE,TRUE
2782,0.0546662193861726,0.0757207886174245,-0.871559892111824,TRUE,TRUE,TRUE
2886,0.0610325980277312,0.0754080269383166,0.869587334479201,TRUE,TRUE,TRUE
2780,0.0622086390174289,0.0721217633646497,-0.85034658056547,TRUE,TRUE,TRUE
2774,0.0185044098356614,0.0709671741583196,-0.846496207487118,TRUE,TRUE,TRUE
2781,0.0521130727458938,0.0701215246976582,-0.838679328223429,TRUE,TRUE,TRUE
2803,0.0237526222910018,0.0646872606614925,0.806995396793719,TRUE,TRUE,TRUE
2770,0.0184810826377145,0.0623548154165,-0.792996474023215,TRUE,TRUE,TRUE
2804,0.0251328136182201,0.0597726750405248,0.775386294490866,TRUE,TRUE,TRUE
2802,0.026759244322806,0.058979855859753,0.770050764058561,TRUE,TRUE,TRUE
2779,0.0202362007636034,0.0574781743929363,-0.760824276233757,TRUE,TRUE,TRUE
2801,0.0268062509341059,0.057399334635314,0.759601610725844,TRUE,TRUE,TRUE
2800,0.0267600949106581,0.0568418589316764,0.755887379623495,TRUE,TRUE,TRUE
2805,0.0227730230132302,0.054706864200396,0.741829888640661,TRUE,TRUE,TRUE
2771,0.0206632591576617,0.0519157587531799,-0.722766044668555,TRUE,TRUE,TRUE
2792,0.0202031835381756,0.0355479595876454,0.59749449847466,TRUE,TRUE,TRUE
